"","leg_id","type","name","committee_id","bill_id"
"21090","TXL000405","primary","Schwertner",NA,"SB 1208"
"21091","TXL000206","cosponsor","Uresti",NA,"SB 1208"
"21092","TXL000443","primary","Klick",NA,"SB 1208"
"21093","TXL000297","primary","Kolkhorst",NA,"SB 1322"
"21094",NA,"primary","Miller",NA,"SB 1322"
"21095","TXL000482","primary","Bettencourt",NA,"SB 1886"
"21096","TXL000350","primary","Taylor, Van",NA,"SB 1790"
"21097","TXL000352","primary","Thompson, Senfronia",NA,"SB 1790"
"21098","TXL000271","primary","Hancock",NA,"SB 1520"
"21099","TXL000373","primary","Burkett",NA,"SB 1520"
"21100","TXL000405","primary","Schwertner",NA,"SB 1924"
"21101","TXL000402","primary","Price",NA,"SB 1924"
"21102","TXL000198","primary","Lucio",NA,"SB 1682"
"21103","TXL000196","primary","Huffman",NA,"SB 1807"
"21104","TXL000502","primary","Metcalf",NA,"SB 1807"
"21105","TXL000297","primary","Kolkhorst",NA,"SB 1972"
"21106","TXL000387","primary","Kuempel",NA,"SB 1972"
"21107","TXL000297","primary","Kolkhorst",NA,"SB 1544"
"21108","TXL000673","primary","Schubert",NA,"SB 1544"
"21109","TXL000190","primary","Estes",NA,"SB 1514"
"21110","TXL000242","primary","Darby",NA,"SB 1514"
"21111","TXL000414","primary","Rodríguez",NA,"SB 1533"
"21112","TXL000213","cosponsor","Zaffirini",NA,"SB 1533"
"21113","TXL000317","primary","Moody",NA,"SB 1533"
"21114","TXL000235","primary","Coleman",NA,"SB 1533"
"21115","TXL000402","primary","Price",NA,"SB 1533"
"21116","TXL000391","primary","Lozano",NA,"SB 1533"
"21117",NA,"primary","Turner",NA,"SB 1533"
"21118","TXL000439","cosponsor","Guerra",NA,"SB 1533"
"21119","TXL000684","cosponsor","Neave",NA,"SB 1533"
"21120","TXL000716","primary","Hughes",NA,"SB 1955"
"21121","TXL000481","primary","Wray",NA,"SB 1955"
"21122","TXL000213","primary","Zaffirini",NA,"SB 1871"
"21123","TXL000334","primary","Raymond",NA,"SB 1871"
"21124","TXL000707","primary","Miles",NA,"SB 2105"
"21125","TXL000705","cosponsor","Buckingham",NA,"SB 2105"
"21126","TXL000473","cosponsor","Garcia",NA,"SB 2105"
"21127","TXL000672","primary","Johnson, Jarvis",NA,"SB 2105"
"21128","TXL000198","primary","Lucio",NA,"SB 1681"
"21129","TXL000405","primary","Schwertner",NA,"SB 1437"
"21130","TXL000503","cosponsor","Hall",NA,"SB 1437"
"21131","TXL000297","cosponsor","Kolkhorst",NA,"SB 1437"
"21132","TXL000373","primary","Burkett",NA,"SB 1437"
"21133","TXL000349","primary","Taylor, Larry",NA,"SB 1449"
"21134","TXL000426","primary","Bonnen, Greg",NA,"SB 1449"
"21135","TXL000479","primary","Huffines",NA,"SB 1408"
"21136","TXL000221","primary","Bohac",NA,"SB 1408"
"21137","TXL000240","primary","Creighton",NA,"SB 1964"
"21138","TXL000190","primary","Estes",NA,"SJR 51"
"21139","TXL000242","primary","Darby",NA,"SJR 51"
"21140","TXL000419","primary","Campbell",NA,"SB 1883"
"21141","TXL000405","primary","Schwertner",NA,"SB 1414"
"21142","TXL000195","primary","Hinojosa",NA,"SB 1459"
"21143",NA,"primary","Martinez, ""Mando""",NA,"SB 1459"
"21144","TXL000716","primary","Hughes",NA,"SB 1838"
"21145","TXL000482","cosponsor","Bettencourt",NA,"SB 1838"
"21146","TXL000716","primary","Hughes",NA,"SB 1943"
"21147","TXL000240","cosponsor","Creighton",NA,"SB 1943"
"21148","TXL000479","primary","Huffines",NA,"SB 1588"
"21149","TXL000400","primary","Perry",NA,"SB 1588"
