"","title","created_at","updated_at","id","chamber","state","session","type","bill_id"
"1996","Relating to inspection procedures in certain long-term care facilities and the creation of a long-term care legislative oversight committee.","2017-03-11 08:35:04","2017-06-16 10:12:09","TXB00055097","lower","tx","85","bill","HB 3533"
"1997","Relating to recording certain criminal proceedings.","2017-03-11 08:35:05","2017-06-05 10:28:46","TXB00055155","lower","tx","85","bill","HB 3637"
"1998","Relating to the applicability of municipal zoning ordinances to certain open-enrollment charter schools.","2017-03-11 08:35:05","2017-06-05 10:28:22","TXB00055156","lower","tx","85","bill","HB 3573"
"1999","Relating to authority of certain general-law municipalities to annex an area on petition by owners.","2017-03-11 08:35:06","2017-06-05 10:28:01","TXB00055198","lower","tx","85","bill","HB 3603"
"2000","Relating to prevention of communicable diseases in certain long-term care facilities.","2017-03-11 08:35:06","2017-06-05 10:28:48","TXB00055204","lower","tx","85","bill","HB 3711"
"2001","Relating to the administration of ad valorem taxes.","2017-03-11 08:35:07","2017-06-05 10:28:51","TXB00055226","lower","tx","85","bill","HB 3446"
"2002","Relating to the automatic admission to general academic teaching institutions and eligibility for certain scholarships of a student who is the valedictorian of the student's high school graduating class.","2017-03-11 08:35:07","2017-06-05 10:27:47","TXB00055260","lower","tx","85","bill","HB 3904"
"2003","Relating to the designation of a chief innovation and technology officer for the Department of Information Resources.","2017-03-11 08:35:08","2017-06-05 10:28:33","TXB00055315","lower","tx","85","bill","HB 3274"
"2004","Relating to the applicability of the law regarding the authority to construct or maintain a facility or structure on state land.","2017-03-11 08:35:08","2017-06-05 10:28:19","TXB00055326","lower","tx","85","bill","HB 3749"
"2005","Relating to the movement of vehicles transporting sealed ocean cargo shipping containers; authorizing a fee.","2017-03-11 08:35:08","2017-06-05 10:28:24","TXB00055330","lower","tx","85","bill","HB 3460"
"2006","Relating to financial assistance paid to the survivors of certain law enforcement officers and employees killed in the line of duty.","2017-03-11 08:35:09","2017-06-05 10:28:23","TXB00055370","lower","tx","85","bill","HB 3132"
