"","bill_id","pct_repub","num_sponsors","signed"
"608","HB 1571",1,1,1
"609","HB 1572",1,1,0
"610","HB 1573",1,2,1
"611","HB 1574",1,6,0
"612","HB 1575",1,4,0
"613","HB 1576",1,1,0
"614","HB 1577",1,1,0
"615","HB 1578",1,1,0
"616","HB 1579",0,1,0
"617","HB 158",0,1,0
"618","HB 1580",0,1,0
"619","HB 1581",1,1,0
"620","HB 1582",0,1,0
"621","HB 1583",0.166666666666667,6,0
"622","HB 1584",0,2,1
"623","HB 1585",0.666666666666667,3,0
"624","HB 1586",0.5,2,0
"625","HB 1587",1,1,0
"626","HB 1588",1,1,0
"627","HB 1589",0,2,0
"628","HB 159",0,1,0
"629","HB 1590",0.75,4,0
"630","HB 1591",1,4,0
"631","HB 1592",1,1,0
"632","HB 1593",1,1,1
"633","HB 1594",1,1,0
"634","HB 1595",1,2,0
"635","HB 1596",1,1,0
"636","HB 1597",1,1,0
"637","HB 1599",0.4,5,0
"638","HB 16",0.2,15,0
"639","HB 1600",0.285714285714286,7,1
"640","HB 1601",1,1,0
"641","HB 1602",0.6,5,0
"642","HB 1603",1,3,0
"643","HB 1604",0.75,4,0
"644","HB 1605",0.75,4,0
"645","HB 1606",0.5,2,1
"646","HB 1607",1,1,0
"647","HB 1608",0,2,1
"648","HB 1609",0.5,2,0
"649","HB 161",0,1,0
"650","HB 1610",0.666666666666667,3,0
"651","HB 1611",1,1,0
"652","HB 1612",1,1,1
"653","HB 1613",1,2,0
"654","HB 1614",1,1,0
"655","HB 1615",0,1,0
"656","HB 1616",0,2,0
"657","HB 1618",1,1,0
"658","HB 1619",1,2,1
"659","HB 162",0,1,1
"660","HB 1620",0.9,10,0
"661","HB 1621",1,1,0
"662","HB 1622",0,5,0
"663","HB 1623",0,1,0
"664","HB 1624",1,1,0
"665","HB 1625",0.666666666666667,3,1
"666","HB 1626",0,1,0
"667","HB 1627",1,1,0
"668","HB 1628",0,1,0
"669","HB 1629",0,3,1
"670","HB 163",0,2,0
"671","HB 1630",0.5,2,1
"672","HB 1631",1,2,0
"673","HB 1632",0.6,5,0
"674","HB 1633",0,3,0
"675","HB 1634",1,1,0
"676","HB 1635",1,2,0
"677","HB 1636",1,1,0
"678","HB 1637",1,1,0
"679","HB 1638",0,4,1
"680","HB 1639",0,2,0
"681","HB 164",0,1,0
"682","HB 1640",0,2,0
"683","HB 1641",0.742857142857143,35,0
"684","HB 1642",0.75,4,1
"685","HB 1643",1,5,1
"686","HB 1644",1,2,1
"687","HB 1645",0.666666666666667,12,1
"688","HB 1646",0.333333333333333,3,1
"689","HB 1647",0.5,2,0
"690","HB 1648",1,2,1
"691","HB 165",0,1,0
"692","HB 1650",0.666666666666667,3,0
"693","HB 1651",0,1,0
"694","HB 1652",1,1,0
"695","HB 1653",1,1,0
"696","HB 1654",0.5,4,0
"697","HB 1655",1,2,1
"698","HB 1656",0.111111111111111,9,0
"699","HB 1657",0.5,4,1
"700","HB 1658",1,1,0
"701","HB 1659",1,1,0
"702","HB 166",0,1,0
"703","HB 1660",1,1,0
"704","HB 1661",1,3,1
"705","HB 1662",1,1,0
"706","HB 1663",0,2,0
"707","HB 1664",1,2,0
"708","HB 1665",0,1,0
"709","HB 1666",0.8,5,0
"710","HB 1667",0.8,5,0
"711","HB 1668",0,1,0
"712","HB 1669",0,2,0
"713","HB 167",1,5,0
"714","HB 1670",0,1,0
"715","HB 1671",0,1,0
"716","HB 1672",1,1,0
"717","HB 1673",0,1,0
"718","HB 1674",1,1,0
"719","HB 1675",1,1,0
"720","HB 1676",0.5,2,0
"721","HB 1677",0,2,0
"722","HB 1678",1,1,0
"723","HB 1679",1,1,0
"724","HB 168",0,1,0
"725","HB 1680",1,1,0
"726","HB 1682",1,5,0
"727","HB 1683",1,1,0
"728","HB 1684",1,1,0
"729","HB 1685",1,3,0
"730","HB 1686",0.5,2,0
"731","HB 1687",1,1,0
"732","HB 1688",0.5,2,0
"733","HB 1689",0.8,5,0
"734","HB 1690",1,1,0
"735","HB 1691",0.8,10,1
"736","HB 1692",0.901960784313726,51,0
"737","HB 1693",0.714285714285714,7,0
"738","HB 1694",1,1,0
"739","HB 1695",1,1,0
"740","HB 1696",0,1,0
"741","HB 1697",0.666666666666667,9,1
"742","HB 1698",1,2,1
"743","HB 1699",1,2,1
"744","HB 17",1,2,0
"745","HB 170",0.5,2,0
"746","HB 1700",0,1,0
"747","HB 1701",1,2,1
"748","HB 1702",1,1,0
"749","HB 1703",0,2,0
"750","HB 1704",1,3,1
"751","HB 1705",0.5,2,0
"752","HB 1706",1,1,0
"753","HB 1707",1,1,0
"754","HB 1709",1,3,1
"755","HB 171",0,2,0
"756","HB 1710",0.5,2,0
"757","HB 1711",1,1,0
"758","HB 1712",0.666666666666667,3,0
"759","HB 1713",0,1,0
"760","HB 1714",0,1,0
"761","HB 1715",1,1,0
"762","HB 1716",0.666666666666667,3,1
"763","HB 1717",0,1,0
"764","HB 1718",0,1,0
"765","HB 1719",1,1,0
"766","HB 1720",1,1,0
"767","HB 1721",0.8,5,0
"768","HB 1722",1,1,0
"769","HB 1723",1,1,0
"770","HB 1724",0,2,1
"771","HB 1725",0.5,2,0
"772","HB 1726",0,1,0
"773","HB 1727",1,2,1
"774","HB 1728",1,1,0
"775","HB 1729",0.304347826086957,23,1
"776","HB 1730",1,2,1
"777","HB 1731",1,1,0
"778","HB 1732",0,1,0
"779","HB 1733",0,1,0
"780","HB 1734",0,1,0
"781","HB 1735",1,3,1
"782","HB 1736",1,1,0
"783","HB 1737",0,1,0
"784","HB 1738",1,1,0
"785","HB 1739",1,1,0
"786","HB 174",1,1,0
"787","HB 1740",0,2,0
"788","HB 1741",1,1,0
"789","HB 1742",0,1,0
"790","HB 1743",0,1,0
"791","HB 1744",1,2,0
"792","HB 1745",0,1,0
"793","HB 1746",1,1,0
"794","HB 1747",0.666666666666667,3,0
"795","HB 1748",1,1,0
"796","HB 1749",0,1,0
"797","HB 1750",1,1,0
"798","HB 1751",1,1,0
"799","HB 1752",0,1,0
"800","HB 1753",0.333333333333333,3,0
"801","HB 1754",1,3,0
"802","HB 1755",0,1,0
"803","HB 1756",0,1,0
"804","HB 1757",1,2,0
"805","HB 1758",1,1,0
"806","HB 1759",1,1,0
"807","HB 176",0,1,0
"808","HB 1760",1,1,0
"809","HB 1761",1,1,1
"810","HB 1762",0,1,0
"811","HB 1763",0,1,0
"812","HB 1764",0,2,0
"813","HB 1765",1,1,0
"814","HB 1766",0.25,4,0
"815","HB 1767",0,2,0
"816","HB 177",0,1,0
"817","HB 1771",1,2,1
"818","HB 1772",1,1,0
"819","HB 1773",1,1,0
"820","HB 1774",1,84,1
"821","HB 1775",1,1,0
"822","HB 1776",1,8,0
"823","HB 1777",1,1,0
"824","HB 1778",1,1,0
"825","HB 1779",1,2,0
"826","HB 178",1,1,0
"827","HB 1780",1,2,1
"828","HB 1781",1,1,0
"829","HB 1782",1,1,0
"830","HB 1783",1,1,0
"831","HB 1784",1,1,0
"832","HB 1785",1,1,0
"833","HB 1786",1,1,0
"834","HB 1787",0.5,2,1
"835","HB 1788",1,1,0
"836","HB 1789",0,1,0
"837","HB 1790",0,2,1
"838","HB 1791",0,2,1
"839","HB 1792",1,1,0
"840","HB 1793",0.5,2,1
"841","HB 1794",0.857142857142857,7,1
"842","HB 1795",0,1,0
"843","HB 1797",1,1,0
"844","HB 1798",1,1,0
"845","HB 1799",1,2,0
"846","HB 18",0.7,10,0
"847","HB 1800",1,2,0
"848","HB 1801",0,1,0
"849","HB 1802",0.5,2,0
"850","HB 1803",0,2,0
"851","HB 1804",0,2,0
"852","HB 1805",1,12,0
"853","HB 1806",0,1,0
"854","HB 1807",0,1,0
"855","HB 1808",0.5,8,1
"856","HB 1809",0,1,0
"857","HB 1810",0.75,4,1
"858","HB 1812",0.8,5,0
"859","HB 1813",1,22,0
"860","HB 1814",0.5,2,1
"861","HB 1815",0.666666666666667,3,0
"862","HB 1816",0.666666666666667,3,1
"863","HB 1817",0,1,0
"864","HB 1818",0.714285714285714,7,1
"865","HB 1819",0.888888888888889,18,1
"866","HB 182",0,1,0
"867","HB 1820",1,1,0
"868","HB 1821",1,1,0
"869","HB 1822",0,1,0
"870","HB 1823",0,7,1
"871","HB 1824",1,1,0
"872","HB 1825",1,2,0
"873","HB 1826",1,2,0
"874","HB 1827",0,1,0
"875","HB 1828",0,1,0
"876","HB 1829",1,2,1
